emoji,cluster_id,membership_raw,membership_sharp,source_type,observed_count,support_score
😳,cluster_05,0.542893935125794,0.561120838968468,soft_candidate,2751,0.743332862854004
😴,cluster_04,1.000000000000000,1.000000000000000,onehot,270,
😵,cluster_03,1.000000000000000,1.000000000000000,onehot,69,
😵‍💫,cluster_03,1.000000000000000,1.000000000000000,onehot,168,
😶,cluster_03,1.000000000000000,1.000000000000000,onehot,272,
😶‍🌫️,cluster_00,1.000000000000000,1.000000000000000,onehot,11,
😷,cluster_00,1.000000000000000,1.000000000000000,onehot,68,
🙁,cluster_01,1.000000000000000,1.000000000000000,onehot,3248,
🙂,cluster_01,0.447586703307955,0.425408641838058,soft_candidate,29854,0.736305356025696
🙂,cluster_02,0.552413296692045,0.574591358161942,soft_candidate,29854,0.908751010894775
🙃,cluster_05,1.000000000000000,1.000000000000000,onehot,191,
🙄,cluster_05,1.000000000000000,1.000000000000000,onehot,1854,
🤐,cluster_03,1.000000000000000,1.000000000000000,onehot,124,
🤑,cluster_02,1.000000000000000,1.000000000000000,onehot,1302,
🤒,cluster_06,1.000000000000000,1.000000000000000,onehot,167,
🤓,cluster_02,1.000000000000000,1.000000000000000,onehot,981,
🤔,cluster_01,1.000000000000000,1.000000000000000,onehot,34339,
🤕,cluster_04,1.000000000000000,1.000000000000000,onehot,194,
🤗,cluster_01,1.000000000000000,1.000000000000000,onehot,4105,
🤠,cluster_02,1.000000000000000,1.000000000000000,onehot,79,
🤡,cluster_00,1.000000000000000,1.000000000000000,onehot,24,
🤢,cluster_04,1.000000000000000,1.000000000000000,onehot,3338,
🤤,cluster_02,1.000000000000000,1.000000000000000,onehot,268,
🤥,cluster_03,1.000000000000000,1.000000000000000,onehot,129,
🤦,cluster_03,0.344220688660755,0.348779124641704,soft_candidate,3066,0.743332862854004
🤦,cluster_04,0.343567994404169,0.347834740460200,soft_candidate,3066,0.741923391819000
🤦,cluster_05,0.312211316935077,0.303386134898096,soft_candidate,3066,0.674209713935852
🤧,cluster_00,1.000000000000000,1.000000000000000,onehot,18,
🤨,cluster_01,1.000000000000000,1.000000000000000,onehot,1338,
