emoji,observed_count,effective_count,shrinkage_alpha,raw_centroid_json,shrunk_centroid_json
😊,43786,9576.86132812,0.99885941,"[-0.00527049, -4.075e-05, 0.00078802, 0.00940381, -0.00725708, -0.00465052, 0.0019087, 0.0072525, -0.00118468, 0.00654193, -0.01690726, 0.00190819, 0.00244135, -0.00552322, -0.00827776, 0.00162516, 0.00039865, -0.00378704, -0.00099303, 0.00968308, 0.00274556, 0.00411359, 0.0019348, 0.00701146, -0.00222193, -0.00340236, 0.00255256, -0.0039599, 0.00939194, 0.00576513, -0.00294123, 0.00116618, -0.00600483, 5.03e-06, 0.03482059, 0.00191527, -0.00777202, 0.00241612, -0.00297032, -0.0092776, 0.00696548, -0.01761116, 0.01192977, 0.00602241, 0.00396886, 0.00077401, -0.00293178, 0.00661649, -0.02596132, 0.00538466, -0.00283161, -0.00047419, -0.00032297, 0.00266332, 0.00165292, 0.00021484, -0.00910359, 0.02704282, -0.00412193, -0.02628695, 0.00612781, 0.00477865, 0.00070766, 0.00037447, -0.00082486, -0.0247248, 0.00148339, 0.00171677, 0.02104663, -0.00810907, 4.597e-05, -0.0221278, 0.00072272, 0.02762463, -0.0074328, -0.01210499, 0.00193949, -0.00044279, -0.00824782, -0.00652907, -0.01367658, -0.01103636, -0.01478905, -0.00385384, -0.01263649, 0.00868226, 0.00670892, 0.00453519, -0.00573116, -0.01313613, 0.00218294, 0.0528937, 0.00252847, -0.03635915, -0.00327326, 0.00063017, -0.00509239, -0.02004093, -0.00187864, 0.00858371, -0.0009746, 0.00924932, 0.04114943, 0.00222069, -0.01795722, 0.00111373, 0.04530642, 0.00810731, 0.0043652, -0.00041291, -0.00096331, -0.00042931, -0.00383393, -0.00615434, 0.00316776, -0.00085346, -0.00297698, 0.0003024, 0.00609454, 0.00349214, 0.0101435, -0.00809443, 0.00551576, -0.04698838, -0.00357009, -0.00084775, -0.00080897, -0.00031411, -0.0008931, 0.00843134, -0.00237136, 0.00700452, 0.00032195, 0.00878289, -0.00421225, -0.01966349, -0.00673181, -0.00033653, -0.00493208, -0.00558503, -0.00498329, 0.00327952, 0.00298791, 0.00226968, 0.01343673, -0.03216704, 0.00166232, -0.00070874, 0.00269349, -0.0014902, 0.00224283, -0.00035187, 0.00152356, -0.00154716, 0.00256123, -0.00473967, 0.00312811, -0.00725174, -0.00151117, 0.00540915, -0.01764543, -0.00368344, 0.00623585, 0.00728582, 0.03017908, -0.00203072, 0.00069733, -0.01457075, 0.05214447, 0.00076298, -0.01522589, 0.00345314, 0.00412598, -0.00942164, -0.00473993, -0.00337578, -0.00555091, -0.00258953, 0.00105267, 0.00394893, -0.01337647, 0.01193185, -0.00304719, 0.0058633, -0.00256237, 0.0182032, -0.01100414, 0.00299962, -0.00953926, 0.00396662, 0.0101615, -0.00060859, 0.01152341, -0.00518108, 0.00338527, 0.01009508, 0.00051679, 0.00703846, -0.00948515, -0.00295493, 0.00297148, 0.00708941, 0.00056181, -0.00036331, -0.00069061, -9.489e-05, -0.01673645, -0.00331408, 0.00050213, -0.00786796, -1.872e-05, -0.00759091, 0.00469181, 0.00058485, -0.02189974, -0.00707444, 0.00599407, -0.00085242, 0.00027669, 0.00129123, -0.01451818, -0.00750119, -0.0033454, 0.00344824, 0.01080451, 0.00802553, 0.00439625, 0.0352857, 5.734e-05, 0.01499853, -0.00557375, 0.00071818, 0.00959042, 0.00962042, 0.0010801, -0.00144125, -0.00279154, -0.00787694, 0.009777, -0.00024214, -0.00341685, -0.0010586, -0.00387756, -0.00472596, 0.00268086, -0.00435038, -0.00362553, -0.00535344, -0.0052377, 0.01130966, -0.00277992, -0.00032456, -0.00792899, 0.00454052, 0.01035092, 0.00385487]","[-0.00527186, -4.213e-05, 0.0007867, 0.00939639, -0.00725763, -0.00465349, 0.00190956, 0.00724933, -0.00118489, 0.00653619, -0.01690938, 0.00190975, 0.00244136, -0.00552204, -0.00827906, 0.00162542, 0.00040094, -0.0037841, -0.00098745, 0.00968015, 0.00274408, 0.004114, 0.00193491, 0.00701644, -0.00221995, -0.00340288, 0.00255291, -0.00396007, 0.00938781, 0.00576694, -0.00294061, 0.0011697, -0.00600502, 5.22e-06, 0.03481822, 0.00191265, -0.00777075, 0.00242044, -0.00296722, -0.00927904, 0.00696385, -0.01760786, 0.01192945, 0.00602195, 0.00396673, 0.00077487, -0.0029318, 0.00661756, -0.02595442, 0.00538208, -0.00282919, -0.00047316, -0.00031781, 0.00266301, 0.00165411, 0.00021488, -0.00910059, 0.02703918, -0.00412046, -0.02627733, 0.00612872, 0.00477555, 0.00070668, 0.00037398, -0.00082515, -0.02472054, 0.00148361, 0.00171481, 0.02104875, -0.0081062, 4.572e-05, -0.0221243, 0.00072358, 0.02762939, -0.00743201, -0.01210675, 0.00193931, -0.00044536, -0.00824768, -0.00652803, -0.01367424, -0.01103031, -0.01478508, -0.00385019, -0.01263011, 0.00868224, 0.00670972, 0.00453586, -0.00573152, -0.01313801, 0.00218119, 0.05288376, 0.00252982, -0.03635888, -0.00327106, 0.00063044, -0.00509101, -0.0200372, -0.00187693, 0.00858459, -0.0009756, 0.00924562, 0.0411501, 0.00222049, -0.01794964, 0.00111399, 0.04529777, 0.00810601, 0.00436487, -0.00041042, -0.00096325, -0.00042877, -0.00383375, -0.00615765, 0.00316487, -0.00085367, -0.00297537, 0.00030133, 0.00609067, 0.00348959, 0.01014662, -0.00809516, 0.00551508, -0.04698535, -0.0035664, -0.00084737, -0.00080835, -0.00031421, -0.00089269, 0.00843936, -0.00237056, 0.00700202, 0.00032033, 0.00878305, -0.00421879, -0.01964962, -0.00674273, -0.00033788, -0.0049308, -0.00558362, -0.00498361, 0.00327866, 0.00298738, 0.00227006, 0.01343331, -0.03216384, 0.00166215, -0.00070674, 0.00269116, -0.00148986, 0.00224415, -0.00035337, 0.00152647, -0.00154533, 0.00255952, -0.00474086, 0.00312448, -0.00724902, -0.00151433, 0.00540814, -0.01764355, -0.0036925, 0.00623804, 0.00729762, 0.03017583, -0.00203066, 0.00069526, -0.01456821, 0.05215551, 0.00075716, -0.01521694, 0.00345257, 0.0041252, -0.00942222, -0.00473704, -0.00337653, -0.00555131, -0.00258555, 0.00105328, 0.00395028, -0.01337775, 0.01193362, -0.00304729, 0.00586182, -0.00256304, 0.01820501, -0.01100211, 0.00299963, -0.00953714, 0.00396418, 0.01015907, -0.00061425, 0.01152077, -0.00518225, 0.00338606, 0.01009515, 0.00051694, 0.00703135, -0.00948229, -0.00295341, 0.0029691, 0.00708933, 0.00055879, -0.00036378, -0.00069207, -0.00010009, -0.01672336, -0.00331536, 0.00050238, -0.00786363, -1.86e-05, -0.00758883, 0.00468927, 0.00058294, -0.02190139, -0.00707197, 0.00599485, -0.00085098, 0.00027835, 0.00128786, -0.01451216, -0.00750016, -0.00334562, 0.00344806, 0.01080215, 0.00802501, 0.00439381, 0.03528608, 5.686e-05, 0.01499678, -0.00557536, 0.0007182, 0.00958848, 0.00961994, 0.00108008, -0.0014409, -0.00279279, -0.00787113, 0.00977653, -0.00024252, -0.00341613, -0.00106177, -0.00387736, -0.00472598, 0.00267982, -0.00435174, -0.00362759, -0.00535246, -0.0052467, 0.01130789, -0.00277778, -0.00032329, -0.0079241, 0.00454068, 0.01034788, 0.00385715]"
🤔,34339,6891.95800781,0.99854606,"[-0.009422, 0.00124567, 0.00169425, 0.002144, -0.0052016, -0.01778226, 0.0018461, 0.00342652, -0.00164388, 0.00174785, -0.00602501, 0.00192152, 0.00059047, -0.00220767, -0.00653965, 0.00216621, -0.00062285, -0.00196043, 0.01025156, 0.00625508, 0.00049196, 0.03112354, 0.00024906, 0.00418929, -0.00034803, -0.00328365, 0.0014115, -0.00051456, 0.00736558, 0.00509861, -0.00240702, -0.00026092, -0.00467115, -0.00012507, 0.00291995, -0.00131579, -0.00880456, 0.00037343, -0.00162743, -0.01626843, 0.00238864, -0.01036917, 0.02652696, 0.00505375, -0.00097996, 0.00266537, -0.00102532, 0.00304773, -0.01386834, 0.00089299, -0.00198703, -0.00031876, 0.00394678, 0.00114171, 0.00391525, 0.00459512, -0.00547887, 0.02113684, -0.00136766, -0.0338626, 0.0088869, 0.00214689, 0.00178495, -0.00539147, -0.00104499, -0.02274976, 0.00042394, 0.00011052, 0.02369032, -0.00052198, 0.0039401, -0.01068002, 0.00526408, 0.02164272, -0.00142606, -0.00800525, 0.00343248, 0.0037532, -0.00444811, -0.00553059, -0.00639359, -0.00348099, -0.00360366, -0.00026976, -0.00297311, 0.02420799, -0.00020061, 0.00456629, -0.00494267, -0.00684147, 0.00058985, 0.10028497, 0.00261377, -0.03621453, 0.00150528, 0.00082848, -0.00814629, -0.0090493, 0.00427348, 0.003103, -0.00081756, 0.0041227, 0.04521227, 0.00267273, -0.00552661, 0.00528917, 0.02310879, 0.00691986, 0.00053106, 0.0079707, -0.00124644, 0.00022929, -0.00430035, -0.00611433, -0.00010326, -0.00211394, -0.00160771, 0.000176, -0.00571873, 0.00167626, 0.00843272, -0.00886166, 0.00517388, -0.03553975, -0.00141299, -0.00010671, 0.00027049, -0.00204536, -0.00027635, 0.0408253, 0.00884626, 0.00321116, 0.00122251, 0.01861613, -0.00976304, -0.00396631, -0.05561916, 0.00026281, -0.00272929, -0.00212642, -0.00593161, 0.00236335, -0.00292826, 0.00107277, 0.00827714, -0.01038498, 0.00265335, 0.00072562, -0.00158404, 0.00079646, 0.00206202, -0.00352544, 0.00040081, 0.00604556, 0.00011287, -0.00264867, -0.0070133, -0.00189172, -0.01011957, 0.00481128, -0.01083948, -0.00976447, 0.02343824, 0.07031634, 0.03621942, -0.00241117, -0.00048859, -0.00661269, 0.01980513, -0.00730211, -0.00165399, -0.00034914, 0.00213867, -0.00484304, -0.00212815, -0.00219421, -0.00563405, 0.00159126, -6.987e-05, 0.00273467, -0.0173401, 0.01706607, -0.00205292, 0.00292815, -0.00158002, 0.00654208, -0.01243271, 0.00021993, -0.00534907, 0.00049799, 0.00430512, -0.0362028, 0.00675016, -0.01151477, 0.00278564, 0.01034779, -0.00053733, -0.00012749, -0.00318379, -0.00054264, -0.00160358, 0.00316172, -0.00285705, -0.00014432, -0.00028041, -0.00422938, -0.00233967, -0.00392963, 0.00157073, -0.00124346, -0.00012794, -0.00914134, 0.0012893, -0.00221442, -0.00984385, -0.00426843, 0.0051527, 0.00553707, 0.00083313, -0.00518991, 0.00547418, -0.0078794, 0.00223317, 0.00193206, 0.02406323, 0.00064479, 0.00159746, 0.01723996, 0.00045377, 0.00982411, -0.00463537, -0.00035648, 0.00229877, 0.00840074, 0.00151438, 4.226e-05, -0.00119841, 0.00344311, 0.00339339, -0.00144598, -0.00121452, -0.00083163, -0.00347605, -0.00346388, 0.00214122, -0.0041823, -0.00576773, -0.00637656, -0.00699912, 0.00618025, -0.00104986, 0.0002536, -0.00237617, 0.0059164, 0.00194574, 0.01154159]","[-0.00941772, 0.00124205, 0.00169126, 0.0021451, -0.00520529, -0.01776694, 0.00184729, 0.00342803, -0.00164348, 0.0017475, -0.00604355, 0.00192348, 0.00059318, -0.00221099, -0.00654383, 0.00216575, -0.00061845, -0.00195934, 0.01024232, 0.00625634, 0.00049335, 0.0310848, 0.00025166, 0.00419974, -0.00034824, -0.00328449, 0.00141361, -0.00051979, 0.00736326, 0.00510189, -0.00240701, -0.00025436, -0.00467333, -0.00012465, 0.00296332, -0.00131443, -0.00880144, 0.00038191, -0.00162544, -0.01626009, 0.00239321, -0.0103755, 0.02650532, 0.00505457, -0.00097547, 0.00266371, -0.00102812, 0.00305428, -0.01387712, 0.00089623, -0.00198517, -0.00031768, 0.00394715, 0.00114352, 0.00391348, 0.0045888, -0.00548033, 0.02114079, -0.00136979, -0.03383932, 0.00888405, 0.00214677, 0.00178213, -0.00538371, -0.00104505, -0.0227472, 0.00042576, 0.00011036, 0.02368918, -0.00052936, 0.00393412, -0.0106922, 0.00525857, 0.02165748, -0.0014338, -0.00801345, 0.00343008, 0.00374382, -0.00445345, -0.00553071, -0.0064012, -0.00348426, -0.00361486, -0.00027033, -0.00297902, 0.0241854, -0.00018954, 0.0045671, -0.00494428, -0.00685302, 0.00058993, 0.10020339, 0.00261537, -0.03621439, 0.00150114, 0.00082854, -0.00814009, -0.00906052, 0.00426673, 0.0031121, -0.00081905, 0.00412544, 0.04520721, 0.00267182, -0.00553503, 0.00528343, 0.02313004, 0.00691993, 0.00053623, 0.00796168, -0.00124595, 0.00022902, -0.00429944, -0.0061186, -0.00010219, -0.00211238, -0.00160766, 0.00017482, -0.00570648, 0.00167566, 0.00843918, -0.00886148, 0.00517351, -0.03555254, -0.00141142, -0.00010731, 0.00026971, -0.00204296, -0.00027672, 0.04078842, 0.00883097, 0.00321348, 0.00121914, 0.01860205, -0.0097633, -0.00397145, -0.055562, 0.00026022, -0.00273087, -0.00212965, -0.00593064, 0.00236358, -0.00292034, 0.001075, 0.00828029, -0.01041258, 0.00265169, 0.00072607, -0.00158079, 0.00079357, 0.00206397, -0.00352274, 0.00040614, 0.00603685, 0.00011426, -0.00265323, -0.00700317, -0.00189604, -0.01011107, 0.00481086, -0.01084699, -0.00976718, 0.02341602, 0.07023973, 0.0362065, -0.00241054, -0.00048951, -0.00662103, 0.01986622, -0.0072978, -0.00166232, -0.00034434, 0.00214057, -0.00485045, -0.00212827, -0.00219689, -0.00563443, 0.00159026, -6.745e-05, 0.00273816, -0.01733597, 0.01706086, -0.0020545, 0.00293054, -0.00158231, 0.00656136, -0.01242806, 0.00022399, -0.00535245, 0.00049992, 0.00431054, -0.03615826, 0.00675373, -0.01150705, 0.00278752, 0.01034752, -0.0005356, -0.00012614, -0.0031893, -0.00054421, -0.00159997, 0.00316733, -0.00285592, -0.00014524, -0.00028286, -0.00422999, -0.00234391, -0.00393036, 0.00156949, -0.00124758, -0.00012763, -0.00913644, 0.001291, -0.00221278, -0.00986349, -0.00426935, 0.00515491, 0.00552962, 0.00083443, -0.00518478, 0.00545278, -0.00787753, 0.00222478, 0.00193403, 0.02404095, 0.00065486, 0.00159841, 0.01726669, 0.00045258, 0.00982941, -0.00463879, -0.00035489, 0.00230691, 0.0084019, 0.00151373, 4.055e-05, -0.00120231, 0.00343406, 0.00340206, -0.00144471, -0.00121681, -0.000836, -0.00347638, -0.00346573, 0.00214068, -0.00418428, -0.00576725, -0.00637383, -0.00700804, 0.00618544, -0.00104965, 0.00025437, -0.002378, 0.0059146, 0.00195407, 0.01153332]"
🙂,29854,5741.68701172,0.99832797,"[-0.00348894, 0.00050329, 0.00090302, 0.00904893, -0.00889762, -0.005995, 0.00063587, 0.00735641, -0.00042892, 0.00315165, -0.00759289, 0.00089844, 0.00054967, -0.00343902, -0.00754609, 0.00053748, -0.00049411, -0.00235636, 2.541e-05, 0.00211678, 0.00278802, 0.01217446, 0.00189067, 0.00881836, -0.00049819, -0.00089537, 0.00064069, -0.0017419, 0.0078196, 0.00602308, -0.00198564, 0.00054193, -0.00289544, -0.00175206, 0.01132036, 0.0003961, -0.00549619, 0.00180626, -0.00028847, -0.0101279, 0.00757192, -0.02012949, 0.00966719, 0.00343813, 0.00186236, 0.00210411, -0.00166155, 0.0100346, -0.02071465, 0.00024972, -0.00326173, -0.001267, 0.00326083, 0.00146987, 0.00565137, 0.00117143, -0.0089012, 0.02050273, -0.0033497, -0.02241743, 0.0086046, 0.00589077, 0.00032219, -0.00160831, -0.00178812, -0.0242393, 0.00078085, 0.00214664, 0.02361725, -0.00537285, 0.00099293, -0.02149218, 0.00276321, 0.01566229, -0.00577332, -0.01241354, 0.0025809, -0.0009752, -0.00509854, -0.00464289, -0.01960962, -0.01264384, -0.01316162, 0.00051032, -0.00441469, 0.01305889, 0.00672585, 0.0043347, -0.0056382, -0.01050722, 0.00012786, 0.07372087, 0.00172188, -0.04329424, -0.00339389, -0.00025358, -0.0041791, -0.01864729, -0.0014891, 0.00508261, -0.00064359, 0.00551374, 0.04120388, 0.00199116, -0.02148405, 0.00255834, 0.03761496, 0.00499871, 0.00207261, -0.00200855, -0.00126462, 0.00160774, -0.00346341, -0.01074021, 0.00139409, -0.00131305, -0.00231168, 0.00044172, 0.00378435, 0.00259263, 0.00983418, -0.0088382, 0.00350924, -0.04376189, -0.00093805, 0.0003555, 6.66e-06, 0.00011458, -0.00044986, 0.01284636, 0.0013475, 0.00608681, -0.00054899, 0.00902945, -0.00825879, -0.02108219, -0.01166732, -0.00069053, -0.00468919, -0.00551112, -0.00749509, 0.00243996, 0.00494849, 0.00114037, 0.01457699, -0.01936779, 0.00258127, -0.00103562, 0.00098393, -0.0015691, 0.00283397, 0.00096418, 0.00634532, 0.00118113, 0.00157641, -0.00395412, 0.00187614, -0.00643819, -0.00442152, 0.00563478, -0.0155886, -0.00731843, 0.0083967, 0.01715728, 0.0308343, -0.00191048, -0.00205191, -0.01492039, 0.02928476, -0.00311818, -0.00666356, 0.00107222, 0.0056628, -0.00518588, -0.00570641, -0.00335798, -0.00829244, 0.00369042, -0.00212692, 0.00399202, -0.01068851, 0.0120224, -0.0017162, 0.00565743, -0.00302693, 0.01117286, -0.01023587, 0.0017523, -0.00758252, 0.00168295, 0.00701838, -0.00178877, 0.00817222, -0.00497522, 0.00507701, 0.01635344, 5.47e-05, 0.00415554, -0.01023967, -0.00352065, -0.00088622, 0.00369148, 0.00157486, 0.0013171, 0.0018009, -0.00511994, -0.00488049, -0.00413593, 0.00161634, -0.00895377, -0.00027681, -0.0076202, 0.00352648, -0.00047937, -0.00778462, -0.00994181, 0.00685883, 0.00279147, 0.00075284, 0.00527651, -0.00696088, -0.00700877, 0.00114711, 0.00438094, 0.01661841, 0.00747681, 0.00226138, 0.02611378, 0.00098819, 0.0107117, -0.00812775, 0.0017811, 0.00510532, 0.01064124, 0.00118449, 0.00078787, 0.00063327, -0.00375559, 0.00751571, 0.0002808, -0.00272062, 0.00039864, -0.00367469, -0.00372454, 0.00314376, -0.00352209, -0.00563633, -0.00596165, -0.00796477, 0.01167917, -0.00392221, -0.00025553, -0.00856285, 0.0047887, 0.01543941, 0.0114611]","[-0.00349394, 0.00050037, 0.0009009, 0.00903865, -0.00889568, -0.0059971, 0.00063926, 0.00735158, -0.0004305, 0.0031489, -0.00761158, 0.0009024, 0.00055285, -0.00344077, -0.00754921, 0.00053968, -0.00048926, -0.00235444, 3.189e-05, 0.00212515, 0.00278578, 0.01216159, 0.00189091, 0.00882264, -0.00049818, -0.00090033, 0.0006444, -0.00174586, 0.00781617, 0.00602531, -0.00198633, 0.00054814, -0.00290092, -0.00174885, 0.01135619, 0.0003948, -0.00549813, 0.00181361, -0.00028842, -0.01012859, 0.00756851, -0.02012044, 0.0096705, 0.00344178, 0.00186276, 0.00210314, -0.0016637, 0.01003046, -0.02071331, 0.00025452, -0.00325746, -0.00126418, 0.0032624, 0.00147141, 0.00564643, 0.00116988, -0.00889715, 0.02050833, -0.00334883, -0.02240979, 0.00860179, 0.00588436, 0.0003214, -0.00160571, -0.00178694, -0.02423386, 0.00078235, 0.00214305, 0.02361606, -0.00537322, 0.00099098, -0.02148811, 0.00276105, 0.01568926, -0.00577494, -0.0124156, 0.00257956, -0.00097808, -0.00510359, -0.00464451, -0.01959627, -0.01263228, -0.01315853, 0.00050836, -0.00441908, 0.01305154, 0.006727, 0.00433601, -0.00563889, -0.01051437, 0.00012872, 0.07367148, 0.0017252, -0.04328224, -0.00339046, -0.0002517, -0.00417859, -0.01864414, -0.00148724, 0.00508976, -0.0006456, 0.00551457, 0.04120477, 0.00199125, -0.02146705, 0.0025563, 0.03761514, 0.005002, 0.00207597, -0.00200224, -0.00126403, 0.00160512, -0.00346375, -0.01073739, 0.00139282, -0.00131259, -0.00231045, 0.00043993, 0.00378254, 0.0025904, 0.00983926, -0.00883803, 0.00351159, -0.04376286, -0.00093704, 0.00035405, 6.2e-06, 0.00011372, -0.00045, 0.01285073, 0.00134245, 0.00608467, -0.00054991, 0.00902929, -0.00826161, -0.02105949, -0.01167508, -0.00069191, -0.00468772, -0.00550917, -0.00749136, 0.0024401, 0.00494442, 0.00114282, 0.01457008, -0.01938451, 0.00257949, -0.00103215, 0.00098337, -0.00156847, 0.00283492, 0.00095978, 0.00634152, 0.00117925, 0.00157556, -0.00395718, 0.00187292, -0.00643556, -0.00442128, 0.00563292, -0.01558929, -0.00732564, 0.0083963, 0.01715807, 0.03082844, -0.00191059, -0.00205035, -0.01491608, 0.02933917, -0.00312021, -0.00666476, 0.00107537, 0.00565909, -0.00519382, -0.00570056, -0.00335911, -0.00828844, 0.00368576, -0.0021207, 0.00399393, -0.01069488, 0.01202484, -0.00171858, 0.00565561, -0.00302714, 0.01118728, -0.01023419, 0.00175441, -0.00758268, 0.00168319, 0.00702007, -0.0017951, 0.00817395, -0.00497727, 0.00507534, 0.01634308, 5.57e-05, 0.00414993, -0.01023421, -0.00351747, -0.00088326, 0.00369704, 0.00156875, 0.00131361, 0.0017946, -0.00511915, -0.00488113, -0.00413643, 0.00161483, -0.00894561, -0.0002762, -0.0076171, 0.0035247, -0.00048039, -0.00781064, -0.00993338, 0.00685852, 0.0027875, 0.00075447, 0.00526491, -0.00696469, -0.00700808, 0.00113928, 0.00437912, 0.01660522, 0.00747697, 0.00226136, 0.02612968, 0.00098593, 0.01071631, -0.00812584, 0.00177935, 0.00510999, 0.01063883, 0.00118429, 0.00078466, 0.00062571, -0.00375396, 0.00751879, 0.00027937, -0.00272073, 0.00039155, -0.00367475, -0.00372624, 0.00314146, -0.00352547, -0.00563599, -0.0059592, -0.00797342, 0.01167595, -0.00391716, -0.00025379, -0.00855462, 0.00478852, 0.01542643, 0.01145172]"
